Product;AA Batteries;AAA Batteries;HDMI Cable;USB Flash Drive;Wireless Mouse;Laptop Backpack;Bluetooth Speaker;Wireless Headphones;Soccer Ball;Basketball;Tennis Racket;Yoga Mat;Resistance Bands;Aromatherapy Diffuser;Essential Oil Set;Yoga Block;Meditation Cushion;Facial Cleanser;Moisturizing Cream;Lipstick;Eyeshadow Palette;Mascara;Pillow;Bed Sheets;Coffee Maker;Slow Cooker;Steam Iron;Vacuum Cleaner;Bath Towels;Knife Set;Cookware Set;Wall Clock;Coffee Mug;Cutting Board;Mixing Bowl Set;Blender;Food Storage Containers;Toolbox;Screwdriver Set;Power Drill;Paint Roller Kit;Measuring Tape;Hammer;Screw Assortment Kit;Utility Knife;Sanding Block;Paint Brush Set;Level;LED Bulb;Floor Lamp
AA Batteries;1;0,8;0,2;0,4;0,1;0;0,1;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AAA Batteries;0,8;1;0,3;0,5;0,2;0,1;0,1;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HDMI Cable;0,2;0,3;1;0,9;0,1;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
USB Flash Drive;0,4;0,5;0,9;1;0,2;0;0,1;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wireless Mouse;0,1;0,2;0,1;0,2;1;0;0,4;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Laptop Backpack;0;0,1;0;0;0;1;0,2;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bluetooth Speaker;0,1;0,1;0,1;0,1;0,4;0,2;1;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wireless Headphones;0,3;0,4;0,1;0,2;0,3;0,1;0,9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Soccer Ball;0;0;0;0;0;0;0;0;1;0,8;0,6;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Basketball;0;0;0;0;0;0;0;0;0,8;1;0,7;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tennis Racket;0;0;0;0;0;0;0;0;0,6;0,7;1;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yoga Mat;0;0;0;0;0;0;0;0;0,2;0,2;0,2;1;0,8;0,6;0,4;0,2;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Resistance Bands;0;0;0;0;0;0;0;0;0;0;0,2;0,3;0,1;0,1;0,6;0,4;0,2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aromatherapy Diffuser;0;0;0;0;0;0;0;0;0;0;0;0,4;0,6;1;0,8;0,6;0,4;0,2;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Essential Oil Set;0;0;0;0;0;0;0;0;0;0;0;0,2;0,4;0,8;1;0,8;0,6;0,3;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yoga Block;0;0;0;0;0;0;0;0;0;0;0;0,2;0,2;0,6;0,8;1;0,8;0,4;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Meditation Cushion;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,4;0,6;0,8;1;0,6;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Facial Cleanser;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0,3;0,4;0,6;1;0,8;0,5;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moisturizing Cream;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,2;0,3;0,8;1;0,7;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,2;1;0,9;0,7;0,5;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lipstick;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9;1;0,8;0,6;0,4;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eyeshadow Palette;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0,8;1;0,9;0,7;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mascara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,6;0,9;1;0,8;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pillow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,4;0,7;0,8;1;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bed Sheets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0,4;0,5;0,8;1;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coffee Maker;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0
Slow Cooker;0;0;0;0;0;0;0;0;0;0;0;0;00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9;1;0,8;0,6;0,4;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steam Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0,8;1;0,9;0,7;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0
Vacuum Cleaner;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0,7;1;0,8;0,6;0,3;0;0;0;0;0;0;0;0;0;0;0;0
Bath Towels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0;0;0;0;0;0
Knife Set;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0;0;0;0;0
Cookware Set;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0;0;0;0;0
Wall Clock;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0;0;0;0
Coffee Mug;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0;0;0;0
Cutting Board;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0;0;0
Mixing Bowl Set;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0;0
Blender;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0;0
Food Storage Containers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0;0
Toolbox;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0;0
Screwdriver Set;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0
Power Drill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0;0
Paint Roller Kit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0;0
Measuring Tape;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0;0
Hammer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0
Screw Assortment Kit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0;0
Utility Knife;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0
Sanding Block;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0
Paint Brush Set;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0;0
Level;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0;0
LED Bulb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2;0
Floor Lamp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9;0,7;0,4;0,2






